Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/protocols.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/protocols.eda.nokia.com/v2,GET,ResourceList,resource_list,true,true,false
/apps/protocols.eda.nokia.com/v2/_ui/{pathname},GET,UIResult,,false,false,false
/apps/protocols.eda.nokia.com/v2/aggregateroutes,GET,com.nokia.eda.protocols.v2.AggregateRouteList,,false,false,false
/apps/protocols.eda.nokia.com/v2/bgpgroups,GET,com.nokia.eda.protocols.v2.BGPGroupList,,false,false,false
/apps/protocols.eda.nokia.com/v2/bgppeers,GET,com.nokia.eda.protocols.v2.BGPPeerList,,false,false,false
/apps/protocols.eda.nokia.com/v2/defaultaggregateroutes,GET,com.nokia.eda.protocols.v2.DefaultAggregateRouteList,,false,false,false
/apps/protocols.eda.nokia.com/v2/defaultbgpgroups,GET,com.nokia.eda.protocols.v2.DefaultBGPGroupList,,false,false,false
/apps/protocols.eda.nokia.com/v2/defaultbgppeers,GET,com.nokia.eda.protocols.v2.DefaultBGPPeerList,,false,false,false
/apps/protocols.eda.nokia.com/v2/defaultospfareas,GET,com.nokia.eda.protocols.v2.DefaultOSPFAreaList,,false,false,false
/apps/protocols.eda.nokia.com/v2/defaultospfinstances,GET,com.nokia.eda.protocols.v2.DefaultOSPFInstanceList,,false,false,false
/apps/protocols.eda.nokia.com/v2/defaultospfinterfaces,GET,com.nokia.eda.protocols.v2.DefaultOSPFInterfaceList,,false,false,false
/apps/protocols.eda.nokia.com/v2/defaultroutereflectorclients,GET,com.nokia.eda.protocols.v2.DefaultRouteReflectorClientList,,false,false,false
/apps/protocols.eda.nokia.com/v2/defaultroutereflectors,GET,com.nokia.eda.protocols.v2.DefaultRouteReflectorList,,false,false,false
/apps/protocols.eda.nokia.com/v2/defaultstaticroutes,GET,com.nokia.eda.protocols.v2.DefaultStaticRouteList,,false,false,false
/apps/protocols.eda.nokia.com/v2/namespaces/{namespace}/aggregateroutes,DELETE,com.nokia.eda.protocols.v2.AggregateRouteList,,false,false,false
/apps/protocols.eda.nokia.com/v2/namespaces/{namespace}/aggregateroutes,GET,com.nokia.eda.protocols.v2.AggregateRouteList,aggregate_route_list,true,true,false
/apps/protocols.eda.nokia.com/v2/namespaces/{namespace}/aggregateroutes,POST,com.nokia.eda.protocols.v2.AggregateRoute,aggregate_route,true,false,true
/apps/protocols.eda.nokia.com/v2/namespaces/{namespace}/aggregateroutes/_deleted,GET,com.nokia.eda.protocols.v2.AggregateRoute_DeletedResources,,false,false,false
